code_number,explanation,system_action,operator_response,system_programmer_response,user_response
00C12006,"An abend has occurred during an attempt to access the caller-provided termination
ECB parameter while executing in the PSW key of the caller. This is probably
the result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12007,"An abend has occurred during an attempt to access the caller-provided startup
ECB parameter while executing in the PSW key of the caller. This is probably
the result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12008,"An abend has occurred during an attempt to access the caller-provided correlation
parameter while executing in the PSW key of the caller. This is probably the
result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12009,"An abend has occurred during an attempt to access the caller-provided accounting
token parameter while executing in the PSW key of the caller. This is probably
the result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.

. 
"
00C12010,"An abend has occurred during an attempt to access the caller-provided accounting
interval parameter while executing in the PSW key of the caller. This is probably
the result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.

. 
"
00C12011,"An abend has occurred during an attempt to access the caller-provided authid
parameter while executing in the PSW key of the caller. This is probably the
result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12012,"An abend has occurred during an attempt to access the caller-provided secondary
authid parameter while executing in the PSW key of the caller. This is probably
the result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12013,"An abend has occurred during an attempt to access the caller-provided ACEE
parameter while executing in the PSW key of the caller. This is probably the
result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12014,"An abend has occurred during an attempt to access the caller-provided plan
name parameter while executing in the PSW key of the caller. This is probably
the result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12015,"An abend has occurred during an attempt to access the caller-provided collection
parameter while executing in the PSW key of the caller. This is probably the
result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12016,"An abend has occurred during an attempt to access the caller-provided reuse
parameter while executing in the PSW key of the caller. This is probably the
result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12018," An abend has occurred during an attempt to access
the caller-provided user-id parameter while executing in the PSW key
of the caller. This is probably the result of a logic error in the
requesting program.
"," The application is abended.
",,," This reason code is placed in register
15 during any access to caller-provided information. When any abend
occurs, this register indicates which parameter caused the error.
"
00C12019," An abend has occurred during an attempt to access
the caller-provided applname parameter while executing in the PSW
key of the caller. This is probably the result of a logic error in
the requesting program.
"," The application is abended.
",,," This reason code is placed in register
15 during any access to caller-provided information. When any abend
occurs, this register indicates which parameter caused the error.
"
00C12020," An abend has occurred during an attempt to access
the caller-provided ws parameter while executing in the PSW key of
the caller. This is probably the result of a logic error in the requesting
program.
"," The application is abended.
",,," This reason code is placed in register
15 during any access to caller-provided information. When any abend
occurs, this register indicates which parameter caused the error.
"
00C12021,"An abnormal termination has occurred during an attempt to access the caller-provided
xid parameter while executing in the PSW key of the caller. This is probably
the result of a logic error in the requesting program.
","The application is abnormally terminated.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. Register 15 indicates which parameter caused the error when any
abnormal termination occurs.
"
00C12022," An abend has occurred during an attempt to access the
caller-provided  package list parameter while executing in the PSW key of
the caller. This error has probably occurred as a result of a logic error
in the  requesting program.
"," The application is abended.
",,," This reason code is placed in register 15 during
any access to caller-provided  information. When any abend occurs, this register
indicates which parameter caused  the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12023,"An abend has occurred during an attempt to access the caller-provided thread
token parameter while executing in the PSW key of the caller. This reason
code is probably the result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. When any abend occurs, this register indicates which parameter
caused the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
All dumps taken by the attachment facility or
requesting application.


"
00C12024,"While executing in the PSW key of the caller, an abend occurred during
an attempt to access the accounting-string parameter that was provided by
the caller. This is probably the result of a logic error in the requesting
program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to information
that was provided by the caller. When any abend occurs, this  register indicates
which parameter caused the error. 
"
00C12025,"While executing in the PSW key of the caller, an abend occurred during
an attempt to access the trusted user parameter that was provided by the caller.
This is probably the result of a logic error in the requesting program.
","The application is abended.
",,,"This reason code is placed in register 15 during any access to information
that was provided by the caller. When any abend occurs, this register indicates
which parameter caused the error. 
"
00C12026,"While executing in the PSW key of the caller, an
abend occurred during an attempt to access the trusted password parameter
that was provided by the caller. This problem is probably the result
of a logic error in the requesting program. 
","The application abends.
",,,"If necessary, add a SYSDUMP or SYSABEND
DD statement to your execution JCL, and run the job again. Then review
the dump to determine the reason for the problem.
"
00C12027,"While executing in the PSW key of the caller, an
abend occurred during an attempt to access the trusted location name
parameter that was provided by the caller. This problem is probably
the result of a logic error in the requesting program. 
","The application abends.
",,,"If necessary, add a SYSDUMP or SYSABEND
DD statement to your execution JCL, and run the job again. Then review
the dump to determine the reason for the problem.
"
00C12028,"While executing in the PSW key of the caller, an
abend occurred during an attempt to access the trusted registry parameter
that was provided by the caller. This problem is probably the result
of a logic error in the requesting program. 
","The application abends.
",,,"If necessary, add a SYSDUMP or SYSABEND
DD statement to your execution JCL, and run the job again. Then review
the dump to determine the reason for the problem.
"
00C12029,"While executing in the PSW key of the caller, an
abend occurred during an attempt to access the trusted original authorization
ID parameter that was provided by the caller. This problem is probably
the result of a logic error in the requesting program. 
","The application abends.
",,,"If necessary, add a SYSDUMP or SYSABEND
DD statement to your execution JCL, and run the job again. Then review
the dump to determine the reason for the problem.
"
00C12030,"While executing in the PSW key of the caller, an
abend occurred during an attempt to access the trusted security token
parameter that was provided by the caller. This problem is probably
the result of a logic error in the requesting program. 
","The application abends.
",,,"If necessary, add a SYSDUMP or SYSABEND
DD statement to your execution JCL, and run the job again. Then review
the dump to determine the reason for the problem.
"
00C12031," An abnormal termination has occurred during an attempt
to access the caller-provided ssnma parameter while executing
in the PSW key of the caller. This is probably the result of a logic error
in the requesting program. 
"," The application is abnormally terminated.
",,," This reason code is placed in register 15 during
any access to caller-provided information. Register 15 indicates which parameter
caused the error when any abnormal termination occurs. information.
"
00C12032,"An abnormal termination occurred during an attempt to access the caller-provided activea parameter while executing in the PSW key of the caller. This
is probably the result of a logic error in the requesting program.
","The application is abnormally terminated.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. Register 15 indicates which parameter caused the error when any
abnormal termination occurs.
"
00C12033,"An abnormal termination has occurred during an attempt to access the caller-provided arraysz parameter while executing in the PSW key of the caller. This
is probably the result of a logic error in the requesting program.
","The application is abnormally terminated.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. Register 15 indicates which parameter caused the error when any
abnormal termination occurs.
"
00C12034,"An abnormal termination has occurred during an attempt to access the caller-provided decpptr parameter while executing in the PSW key of the caller. This
is probably the result of a logic error in the requesting program.
","The application is abnormally terminated.
",,,"This reason code is placed in register 15 during any access to caller-provided
information. Register 15 indicates which parameter caused the error when any
abnormal termination occurs.
"
00C12035," The Db2 RRSAF
attachment facility function SET_REPLICATION was invoked by a program
that was not APF authorized. This condition can indicate a security
violation.
"," The application is abended.
",,,
00C12201," The application program invoked IDENTIFY while
it was already connected to Db2.
",,,,
00C12202," The application program invoked the CREATE THREAD
function request while there was already a thread created.
",,,,
00C12203," A TERMINATE THREAD command was issued when there
was no active thread.
",,,,
00C12204," The application issued a function request other
than IDENTIFY when no connection with Db2 existed.
Only IDENTIFY  may be issued when a connection does not exist.
",,,,
00C12205," The task that invoked the Db2 RRSAF attachment facility function SWITCH
TO has not yet identified to the Db2 subsystem
specified in the request.
"," The SWITCH TO function is performed.
",,,
00C12206,"One of the following conditions exists: 
The wrong number of parameters were issued.
The end-of-list bit was off.


",,,,
00C12207,"The application program either omitted the function name parameter or passed
an unrecognized function parameter to the RRSAF.
",,,,
00C12208,"The application program issued an IDENTIFY function request but omitted
the ribptr parameter from the parameter list. An ribptr parameter
is a required parameter on an IDENTIFY request.
","The IDENTIFY request is rejected.
",,,
00C12209,"The application program issued an IDENTIFY function request but omitted
the eibptr parameter from the parameter list. An eibptr parameter
is a required parameter on an IDENTIFY request.
","The IDENTIFY request is rejected.
",,,
00C12211," The application program issued a CREATE THREAD
function request and specified an invalid package list entry.
",,,,
00C12212," The application program issued a CREATE THREAD
function request and did not specify a plan name and also did not
specify a collection name. If a plan name is not provided, then a
collection name must be supplied.
",,,,
00C12214," The application program issued a TRANSLATE function
request but omitted the sqlca parameter
from the parameter list. An sqlca parameter is a required parameter
on a TRANSLATE request.
",,,,
00C12217," The application program issued a CREATE THREAD
function request without having completed SIGNON processing. At least
one successful SIGNON must be completed before a CREATE THREAD request
can be issued.
",,,,
00C12219," The application program issued an SQL or IFI function
request without completing CREATE THREAD processing. SQL or IFI requests
cannot be issued until CREATE THREAD processing is complete.
",,,,
00C12220," The application program issued a CALL DSNRLI with
function SET_ID without completing CREATE THREAD processing. SET_ID
requests cannot be issued until CREATE THREAD processing is complete.
",,,,
00C12221," The application program issued a CALL DSNRLI with
function SET_CLIENT_ID without completing CREATE THREAD processing.
SET_CLIENT_ID requests cannot be issued until CREATE THREAD processing
is complete. SET_CLIENT_ID request are permitted only after a plan
is allocated.
",,,,
00C12222,"The application program issued a CALL DSNRLI statement
with the SET_TRUSTED function, but did not complete processing of
the CREATE THREAD function. SET_TRUSTED requests cannot be issued
until CREATE THREAD processing is complete. 
","The SET_TRUSTED request is not processed. 
",,,
00C12223,"The application program issued a CALL DSNRLI statement
with the SWITCH_USER function, but did not complete processing of
the CREATE THREAD function. SWITCH_USER requests are permitted only
after a plan is allocated.
","The  SET_TRUSTED request is not processed.
",,,
00C12230," The Db2 RRSAF
attachment facility function FIND_DB2_SYSTEMS was invoked with a ssnma and activea array
size that is not large enough to contain the information on all the
defined Db2 systems on this
LPAR. 
"," The request for information failed with Return
Code 4.
",,,
00C12231,"The Db2 RRSAF attachment facility failed
because the requestor's authorization ID has exceeded the maximum number of concurrent sessions
allowed. 
","The connection request is not processed.
",,"Determine the value of the USER.CSDATA.DSNMUCTL defined for the primary authorization ID in RACF and determine if that value needs to be updated. 
","Db2 11 for z/OS in a Common Criteria environment
(DSN6SPRM COMCRIT= YES) restricts the number of concurrent threads for a primary authorization ID
based upon the custom field USER.CSDATA.DSNMUCTL. 
"
00C12822," The RRSAF received an explicit call to DSNRLI
from a Db2 stored procedure.
This is not allowed.
",,,,
00C12823,"An attempt was made to initiate a stored procedure for a task, but one
already exists. This is not allowed.
",,,,
00C12824," The previous connection to Db2 has been terminated. Cleanup processing was
performed and the RRSAF is now ready to process additional IDENTIFY
requests.
",,,,
00C12825,"An attempt was made to terminate a stored procedure for a task, but no
stored procedure exists. This is not allowed.
",,,,
00C12831," The release of the RRSAF code is not compatible
with the earlier release of the Db2 program.
"," The connection is not made.
",,," This problem can be caused by improper Db2 data set allocation in a LOGON
procedure or CLIST.
"
00C12832,"The RRSAF SIGNON processing is performed in a trusted context. The USER authorization ID is not defined in this trusted context context name.
","The RRSAF SIGNON request is not processed.
",,,
00C12850," Db2 stored
procedure DSNACICS issues this abend code when the JCL startup procedure
for the stored procedure address space in which DSNACICS runs contains
a DSNDUMP DD statement. DSNACICS takes an SVC dump when it generates
an error message. At the time of the dump: Register 2 contains the address of the message that was being
generated.
Register 3 contains the address of the first parameter that was
passed to DSNACICS.
Register 4 contains the address of the XPL parameter area that
was passed to DSNACICX.


"," The stored procedure requests an SVC dump and
terminates.
",," If the dump was requested to diagnose
a problem in user exit DSNACICX, use IPCS to examine the contents
of the dump. If the dump was requested because of a possible error in
the Db2 stored procedure, you might need to
report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
",
00C20021," A member of a Db2 data
sharing group was unable to perform a global drain because a physical
close failure occurred in a peer Db2 due
to an exceptional state or CASTOUT process failure. DSNT501I is sent
to the console to report the condition.
"," A 'resource not available' return code, reason
code, and object name are sent back to the requesting function.
",,,
00C20031," An attempt to acquire a page latch in either shared
mode or exclusive mode was rejected due to a timeout on the agent's
wait time.
"," A 'resource not available' return code, reason
code, and object name are sent back to the requesting function.
",," A diagnostic dump with reason code
00C2010F should follow 00C20031.
",
00C20069," Db2 is unable
to perform the drain function on an object (a table space, an index
space, or a partition) because a Db2 member
in the data sharing group was in the process of restarting.
"," If the problem was encountered by Db2 when trying to automatically recover a group
buffer pool recovery pending (GRECP) object following the failure
of a group buffer pool (GBP), then Db2 issues
message DSNB350I or DSNB351I to the console with this reason code
indicating that the object cannot be automatically recovered.
Otherwise,
a 'resource not available' return code, reason code and object name
are sent back to the requesting function. DSNT501I is sent to the
console to report the condition.
",," If DSNB350I or DSNB351I messages
were issued, wait for the failed Db2 member
to complete its restart processing and then recover the GRECP objects
as indicated in the ""System Programmer Response"" for DSNB350I
or DSNB351I. 
",
00C2006A," Db2 was
unable to perform the drain function on an object (table space, index
space, or partition) because the object was held by one or more indoubt
threads.
"," If the problem was encountered by Db2 when trying to automatically recover a group
buffer pool recovery pending (GRECP) object following the failure
of a group buffer pool (GBP), then Db2 issues
message DSNB350I or DSNB351I to the console with this reason code
indicating that the object cannot be automatically recovered.
",," Use the Db2 DISPLAY
DB CLAIMERS command to find the indoubt threads.  If the threads have
been left indoubt because Db2 or
a transaction manager was unable to automatically resolve the indoubts,
you can use the Db2 RECOVER
INDOUBT command to resolve the indoubt thread and remove the indoubt
claimer on the object (the Db2 RECOVER
INDOUBT command should only be used when automatic resolution does
not work).
If DSNB350I or DSNB351I messages were issued, then
after you resolve the indoubt threads, recover the GRECP objects as
indicated in the ""System Programmer Response"" for DSNB350I
or DSNB351I. 
",
00C200A1," This is a Db2 internal
error. The caller of the buffer manager (BM) is trying to release
a page latch that is not currently held.
"," The requesting application process is abended.
"," Notify the system programmer, print the SYS1.LOGREC,
and request the SVC dump.
"," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"," Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Dynamic dump, taken to SYS1.DUMPxx data set, by Db2 (04E
and 04F abends).
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 


"
00C200A2," This is a Db2 internal
error. The caller of the buffer manager (BM) is trying to get a page
latch that is currently held on the requesting page.
"," The requesting application process is abended.
"," Notify the system programmer, print the SYS1.LOGREC,
and request the SVC dump.
"," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"," Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Dynamic dump, taken to SYS1.DUMPxx data set, by Db2 (04E
and 04F abends).
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 


"
00C200A3," This is a Db2/MVS internal error. The execution unit driving a buffer manager (BM) asynchronous function, which would normally run indefinitely, has been canceled. However, work being done by the execution unit is allowed to complete before the execution unit terminates.
"," The affected asynchronous function is terminated.
If the affected function is the deferred write processor (DSNB1CMS), Db2 is abended with the abend code
'00C200D3'.
"," Notify the system programmer, print the SYS1.LOGREC,
and request the SVC dump. Start Db2 if
it is abended.
"," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"," Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Dynamic dump, taken to SYS1.DUMPxx data set, by Db2 (04E
and 04F abends).
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 


"
00C200A4," This code usually indicates a problem internal
to Db2; however, the problem
can result from errors in other products. An unexpected reason code
was returned by the media manager function when it was invoked to
process a database I/O request.
"," The requesting execution unit is abended.
"," Notify the system programmer, print the SYS1.LOGREC,
and request the SVC dump.
",," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
The
unexpected media manager reason code is saved in register 8.
Check
the MVS console log for an IOS
(I/O subsystem) error message indicating the type of I/O error that
occurred. If an IOS message was issued, follow the problem determination
directions for that message.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Dynamic dump, taken to SYS1.DUMPxx data set, by Db2 (04E
and 04F abends).
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 
IDCAMS LISTCAT output for the ICF (VSAM) catalog
that contains the Db2 subsystem catalog that defined
the failing index or table.
VTOC listing of the disk volume on which the failing
operation occurred.


"
00C200A5," Typically, this indicates a problem internal to Db2; however, the problem can result
from errors in other products. Db2 was
unable to drain a pageset in preparation for page set cleanup
processing. This might be caused by one of the following events:  An IRLM out-of-storage condition
An internal error in the lock acquisition function


"," The execution unit driving this function proceeds
normally. The abend status is recorded in SYS1.LOGREC.
"," Notify the system programmer and print the
SYS1.LOGREC.
"," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data. Restart Db2.
"," The unexpected reason code returned by
the drain functionin register 8 might help determine the
cause of the problem. If the problem is caused by an unavailable Db2 resource, message DSNT500I might
also be issued.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 


"
00C200A6," This is a Db2/MVS internal error. The execution unit scheduled by the buffer manager (BM) subcomponent of Db2 to drive the page set cleanup
function has been canceled.
"," Db2 is
abended.
"," Notify the system programmer, print the SYS1.LOGREC,
and request the SVC dump. Restart Db2.
"," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"," Refer to similar reason code '00E50013'.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Dynamic dump, taken to SYS1.DUMPxx data set, by Db2 (04E
and 04F abends).
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 


"
00C200A8," An error code other than timeout, insufficient
storage, or an MVS system error
was returned by the IRLM LOCK request invoked by Db2 to acquire any of the following locks:  SYSLGRNG or SYSLGRNXrecording lock on a table space
Group buffer pool-dependent conversion lock on a page set or partition
Group buffer pool start or stop lock
ALTER BUFFERPOOL lock

 This is a Db2 or IRLM
internal error.
"," The requesting execution unit abends.
"," Notify the system programmer, print the SYS1.LOGREC,
and request the SVC dump.
",," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
"
00C200A9," A return code greater than 4 was returned by the
IRLM UNLOCK request invoked by Db2 to
release any of the following locks:  SYSLGRNG or SYSLGRNX recording lock on a table space
Group buffer pool dependent conversion lock on a page set or partition
Group buffer pool start or stop lock
ALTER BUFFERPOOL lock.

 This is a Db2 or IRLM
error.
"," The requesting execution unit is abended.
"," Notify the system programmer, print the SYS1.LOGREC,
and request the SVC dump.
",," If you suspect an error in Db2, you might need to report the problem. For information about identifying and reporting the
problem, see Collecting diagnostic data.
The
unexpected IRLM reason code is saved in register 8. It might help
determine the cause of the error.
Collect the following diagnostic items:Console output from the system on which the job was run, and a listing of the
SYSLOG data set for the period of time that spans the failure. 
Dynamic dump, taken to SYS1.DUMPxx data set, by Db2 (04E
and 04F abends).
Listing of SYS1.LOGREC data set, obtained by executing
IFCEREP1. 


"
